STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
722925,93117, 20140401,   60.9,12,   45.2,12, 1017.2,11, 1010.6,10,  10.0,12,  12.9,12,  14.0, 999.9,   64.0*,  55.4*, 0.00A,999.9, 000000,
722926,03154, 20140401,   54.9,24,   43.4,24, 1016.2,20, 1013.1,17,   7.4,24,   4.2,24,  12.0,  19.0,   66.9 ,  41.0 , 0.10B,999.9, 010000,
722927,03177, 20140401,   56.6,24,   45.2,24, 1015.8,19, 1003.9,24,   9.1,24,   5.1,24,   9.9,  17.1,   64.9 ,  51.1 , 0.00G,999.9, 010000,
722928,99999, 20140401,   56.6,24,   45.5,24, 1024.8,21, 9999.9, 0,   8.3,24,   7.8,24,  12.0, 999.9,   66.0 ,  48.9 , 0.02B,999.9, 010000,
722934,53121, 20140401,   56.3,24,   45.6,24, 1015.9,21, 1014.8,24,   9.2,24,   4.1,24,  13.0,  19.0,   68.0 ,  45.0 , 0.00G,999.9, 010000,
722950,23174, 20140401,   57.6,24,   45.9,24, 1015.6,22, 1003.8,24,   9.8,24,  12.9,24,  19.0,  22.9,   64.0 ,  51.1 , 0.07G,999.9, 010000,
722953,03183, 20140401,   47.5,21,   29.3,21, 9999.9, 0,  914.5,16,  10.0,21,  18.1,21,  26.0,  33.0,   59.0*,  39.2*, 0.00I,999.9, 000000,
722955,03174, 20140401,   60.4, 9,   46.0, 9, 9999.9, 0, 9999.9, 0,  15.6, 9,  13.0, 9,  18.1,  20.0,   62.6*,  55.4*, 0.00I,999.9, 000000,
722956,03167, 20140401,   57.7,24,   43.5,24, 1015.6,20, 1013.4,24,  10.0,24,   9.0,24,  17.1,  24.1,   64.0 ,  53.1 , 0.03G,999.9, 010000,
722970,23129, 20140401,   58.5,24,   42.8,24, 1015.4,18, 1014.2,24,   9.7,24,   8.4,24,  14.0,  20.0,   64.9 ,  51.1 , 0.09G,999.9, 010000,
722975,53141, 20140401,   58.0,24,   46.6,24, 1015.9,20, 1014.2,17,   9.8,24,   8.2,24,  18.1,  22.0,   65.5 ,  51.1 , 0.08G,999.9, 010000,
722976,03166, 20140401,   59.0,24,   44.7,24, 1015.2,23, 1011.8,24,   9.8,24,   4.7,24,   9.9,  18.1,   68.0 ,  52.0 , 0.11G,999.9, 010000,
722977,93184, 20140401,   58.4,24,   45.1,24, 1015.8,23, 1013.8,24,   9.8,24,   5.5,24,  11.1,  17.1,   66.0 ,  52.0 , 0.06G,999.9, 010000,
723171,53144, 20140401,   49.3,24,   31.8,24, 1012.1,20,  931.4,24,   9.9,24,  15.5,24,  24.1,  34.0,   68.0 ,  36.0 , 0.08G,999.9, 010000,
723762,93244, 20140401,   49.8,24,   43.5,24, 9999.9, 0,  991.2,16,   7.8,24,   4.8,24,  17.1,  22.0,   59.0*,  42.8*,99.99 ,999.9, 110000,
